
2024/10/03 (21:56:27) | ===> btop++ v.1.4.0
2024/10/03 (21:56:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/03 (23:17:42) | ===> btop++ v.1.4.0
2024/10/03 (23:17:42) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (00:24:31) | ===> btop++ v.1.4.0
2024/10/04 (00:24:31) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (00:29:42) | ===> btop++ v.1.4.0
2024/10/04 (00:29:42) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (00:31:03) | ===> btop++ v.1.4.0
2024/10/04 (00:31:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (01:48:59) | ===> btop++ v.1.4.0
2024/10/04 (01:48:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (14:41:11) | ===> btop++ v.1.4.0
2024/10/04 (14:41:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (15:00:19) | ===> btop++ v.1.4.0
2024/10/04 (15:00:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (15:14:29) | ===> btop++ v.1.4.0
2024/10/04 (15:14:29) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (17:13:32) | ===> btop++ v.1.4.0
2024/10/04 (17:13:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (18:31:22) | ===> btop++ v.1.4.0
2024/10/04 (18:31:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/05 (09:43:36) | ===> btop++ v.1.4.0
2024/10/05 (09:43:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/06 (21:59:21) | ===> btop++ v.1.4.0
2024/10/06 (21:59:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/06 (22:03:27) | ===> btop++ v.1.4.0
2024/10/06 (22:03:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/06 (23:01:12) | ===> btop++ v.1.4.0
2024/10/06 (23:01:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/06 (23:06:23) | ===> btop++ v.1.4.0
2024/10/06 (23:06:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/07 (10:37:50) | ===> btop++ v.1.4.0
2024/10/07 (10:37:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/07 (10:40:34) | ===> btop++ v.1.4.0
2024/10/07 (10:40:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/07 (10:42:23) | ===> btop++ v.1.4.0
2024/10/07 (10:42:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/07 (11:19:20) | ===> btop++ v.1.4.0
2024/10/07 (11:19:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/07 (20:57:20) | ===> btop++ v.1.4.0
2024/10/07 (20:57:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/08 (01:36:27) | ===> btop++ v.1.4.0
2024/10/08 (01:36:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/08 (02:11:28) | ===> btop++ v.1.4.0
2024/10/08 (02:11:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/08 (18:05:59) | ===> btop++ v.1.4.0
2024/10/08 (18:05:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/08 (18:29:50) | ===> btop++ v.1.4.0
2024/10/08 (18:29:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/08 (18:31:55) | ===> btop++ v.1.4.0
2024/10/08 (18:31:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/08 (18:33:54) | ===> btop++ v.1.4.0
2024/10/08 (18:33:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/08 (18:34:38) | ===> btop++ v.1.4.0
2024/10/08 (18:34:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/08 (18:38:04) | ===> btop++ v.1.4.0
2024/10/08 (18:38:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/08 (18:50:52) | ===> btop++ v.1.4.0
2024/10/08 (18:50:52) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/08 (20:49:44) | ===> btop++ v.1.4.0
2024/10/08 (20:49:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/08 (20:50:32) | ===> btop++ v.1.4.0
2024/10/08 (20:50:32) | WARNING: Intel GPU: Failed to initialize PMU

